employee_id,jenis_kelamin,usia,pendidikan_terakhir,status_pernikahan,departemen,lama_bekerja_tahun,tipe_perusahaan,status_wfh,jam_kerja_per_hari,jam_lembur_per_hari,jam_tidur_per_hari,kualitas_tidur,frekuensi_olahraga_per_minggu,jam_layar_per_hari,tingkat_stres,kepuasan_kerja,work_life_balance,produktivitas_diri,dukungan_atasan,frekuensi_meeting_per_hari,jumlah_deadline_per_minggu,beban_kerja_persepsi,status_merokok,riwayat_kesehatan_mental,keluhan_fisik_utama,keamanan_pekerjaan,frekuensi_konflik_kerja,tingkat_burnout_label
EMP02226,Perempuan,35.0,D3,Menikah,Marketing,3.0,Corporate,Hybrid,8.3,0.0,8.1,5.9,3.0,7.0,3.4,6.9,8.5,7.7,7.2,1.0,1.0,Sangat Ringan,Ya,Tidak Ada,Tidak Ada,Aman,3.3,Low
EMP00278,Laki-laki,31.0,S2,Menikah,HR,5.3,Corporate,Ya,6.5,0.6,5.9,7.3,3.9,6.7,3.9,8.8,6.6,6.6,5.7,1.0,2.0,Ringan,Tidak,Pernah Depresi,Tidak Ada,Sangat Aman,2.2,Low
EMP14802,Laki-laki,33.0,S2,Menikah,Engineering,4.0,BUMN,Ya,7.8,0.2,7.6,7.5,2.6,6.9,3.1,6.1,6.9,8.2,6.9,1.0,1.0,Ringan,Kadang,Tidak Ada,Tidak Ada,Aman,2.0,Low
EMP12467,Laki-laki,37.0,SMA/SMK,Menikah,Operations,1.3,BUMN,Tidak,12.9,4.3,6.9,3.8,2.4,6.1,7.8,4.5,2.6,2.3,5.8,6.0,4.0,Sedang,Kadang,Kecemasan,Mata Lelah,,6.3,High
EMP09253,Laki-laki,25.0,S2,Belum Menikah,Finance,,Freelance,Tidak,8.1,2.2,3.7,5.2,2.7,9.8,5.8,5.8,2.5,5.6,4.8,3.0,3.0,Berat,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,2.5,Medium
EMP05160,Perempuan,27.0,D3,Menikah,Product,0.6,BUMN,Ya,11.1,4.0,4.5,5.2,1.8,8.2,9.6,2.8,5.7,4.1,3.1,4.0,5.0,Berat,Ya,Pernah Depresi,Mata Lelah,Khawatir,7.4,High
EMP15265,Laki-laki,21.0,D3,Belum Menikah,Data,2.8,BUMN,Tidak,7.8,0.0,6.9,6.6,4.1,10.6,3.1,7.5,5.1,6.6,6.5,3.0,1.0,Ringan,Tidak,Pernah Depresi,Tidak Ada,Sangat Aman,1.9,Low
EMP12407,Laki-laki,29.0,D3,Belum Menikah,Finance,0.5,Freelance,Ya,11.2,3.5,4.3,2.6,0.0,7.2,8.7,2.5,4.7,3.8,4.4,5.0,4.0,Berat,Tidak,Pernah Depresi,Mata Lelah,Khawatir,6.9,High
EMP09004,Laki-laki,35.0,S1,Menikah,Product,3.4,Startup,Ya,10.3,1.4,7.1,5.4,1.9,10.3,4.6,6.3,5.5,5.3,5.8,3.0,4.0,Sedang,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,4.7,Medium
EMP16040,Laki-laki,30.0,S2,Menikah,IT,4.6,BUMN,Hybrid,9.5,0.1,5.6,5.1,2.0,7.8,4.9,5.5,4.3,5.3,5.7,4.0,2.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,6.1,Medium
EMP09685,Perempuan,31.0,S2,Belum Menikah,Sales,6.1,BUMN,Tidak,8.2,0.9,5.9,7.6,2.3,10.5,4.2,8.5,9.7,9.8,6.5,1.0,2.0,Sangat Ringan,Kadang,Tidak Ada,Sakit Kepala,Cukup Aman,2.0,Low
EMP14048,Laki-laki,32.0,S1,Menikah,Engineering,1.1,Freelance,Tidak,12.2,3.0,3.2,2.5,0.9,7.7,10.0,2.3,1.0,6.4,1.2,3.0,3.0,Sangat Berat,Tidak,Tidak Ada,Kelelahan,Tidak Aman,7.3,High
EMP01022,Laki-laki,23.0,S1,Belum Menikah,Product,0.2,Startup,Ya,8.1,1.6,6.4,2.8,2.6,9.0,7.1,6.5,7.3,4.7,6.9,0.0,2.0,Sedang,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,,Medium
EMP04045,Perempuan,31.0,S1,Belum Menikah,Operations,0.4,Freelance,Hybrid,7.3,1.1,8.3,6.9,5.5,7.0,3.8,6.6,8.4,7.9,7.3,1.0,1.0,Sedang,Tidak,Tidak Ada,Tidak Ada,Sangat Aman,1.4,Low
EMP14044,Perempuan,26.0,S2,Menikah,Product,4.0,BUMN,Ya,10.0,3.4,4.3,3.6,0.7,6.1,7.7,4.4,4.5,1.3,1.9,5.0,4.0,Sangat Berat,Tidak,Kecemasan,Sakit Kepala,Tidak Aman,5.8,High
EMP10707,Perempuan,22.0,S1,Menikah,Finance,3.0,Startup,Ya,7.0,1.8,9.1,6.0,4.0,34.88,3.4,8.6,6.5,4.9,7.5,0.0,2.0,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,1.8,Low
EMP12917,Perempuan,28.0,S2,Menikah,Product,0.1,Freelance,Tidak,12.8,3.7,4.9,4.5,2.5,4.5,6.5,2.9,3.8,3.4,3.7,5.0,5.0,Sedang,Ya,Pernah Depresi,Nyeri Punggung,Tidak Aman,6.9,High
EMP01657,Perempuan,35.0,S2,Menikah,Marketing,4.7,BUMN,Hybrid,9.9,1.1,7.3,5.8,1.5,10.1,5.2,6.6,6.2,5.9,5.6,3.0,2.0,Sedang,Ya,Tidak Ada,Tidak Ada,Cukup Aman,4.2,Medium
EMP06711,Laki-laki,28.0,S2,Belum Menikah,Marketing,1.6,Freelance,Tidak,12.2,3.6,4.0,5.2,0.2,9.8,7.9,3.2,4.3,7.3,3.7,4.0,4.0,Sedang,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,-,High
EMP16710,Perempuan,30.0,S1,Belum Menikah,IT,5.5,Corporate,Ya,13.0,3.1,4.3,4.3,1.6,5.9,6.9,3.8,3.6,5.7,2.0,3.0,4.0,Sangat Berat,Kadang,Kecemasan,Kelelahan,Tidak Aman,5.8,High
EMP17270,Perempuan,28.0,D3,Belum Menikah,Finance,3.9,Swasta,Hybrid,8.3,1.2,7.7,5.8,2.3,9.0,20.5,8.4,6.9,4.7,6.6,,2.0,Sangat Ringan,Tidak,Tidak Ada,Sakit Kepala,Aman,4.4,Low
EMP00175,Perempuan,28.0,S1,Menikah,Product,5.6,Corporate,Tidak,11.4,2.8,5.2,2.8,1.6,8.9,7.4,4.3,1.8,4.8,2.7,N/A,5.0,Sedang,Kadang,Tidak Ada,Sakit Kepala,Tidak Aman,6.8,High
EMP02609,Laki-laki,22.0,S1,Belum Menikah,Engineering,2.4,Startup,Hybrid,10.8,1.7,5.7,4.2,1.8,7.7,5.2,6.7,4.8,6.0,5.7,3.0,2.0,Berat,Ya,Tidak Ada,Tidak Ada,Aman,2.9,Medium
EMP17550,Perempuan,35.0,S1,Belum Menikah,Operations,4.5,Swasta,Ya,5.8,0.8,,6.7,1.8,4.7,3.1,6.2,8.0,7.7,5.5,1.0,1.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,4.4,Low
EMP07894,Laki-laki,23.0,S1,Belum Menikah,Marketing,3.3,Swasta,Tidak,8.0,1.7,4.8,7.7,2.5,7.9,3.5,6.9,7.8,6.7,7.5,4.0,4.0,Ringan,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,3.0,Medium
EMP06009,Laki-laki,36.0,SMA/SMK,,Operations,0.5,Startup,Hybrid,10.4,0.3,6.9,4.4,1.2,4.8,7.0,6.0,5.0,7.2,5.9,2.0,1.0,Sedang,Tidak,Pernah Depresi,Tidak Ada,Tidak Aman,3.1,Medium
EMP12750,Laki-laki,36.0,,Menikah,Operations,1.8,BUMN,Tidak,11.6,3.1,3.7,3.3,2.8,7.0,9.0,3.1,1.2,4.3,3.3,4.0,4.0,Sangat Berat,Ya,Tidak Ada,,Khawatir,6.8,High
EMP11524,Laki-laki,20.0,S1,Menikah,HR,tidak tahu,Freelance,Ya,9.7,,6.1,3.9,1.6,8.8,5.9,5.3,2.8,6.5,6.7,0.0,,Berat,Ya,Pernah Depresi,Nyeri Punggung,Cukup Aman,4.5,Medium
EMP09511,Laki-laki,31.0,S2,Belum Menikah,Product,8.1,Swasta,Ya,11.7,2.4,5.5,3.7,0.3,8.7,7.2,2.9,3.4,3.5,3.7,5.0,3.0,Berat,Kadang,Kecemasan,Sakit Kepala,Tidak Aman,5.4,High
