jenis_kelamin,usia,pendidikan_terakhir,status_pernikahan,departemen,lama_bekerja_tahun,tipe_perusahaan,status_wfh,jam_kerja_per_hari,jam_lembur_per_hari,jam_tidur_per_hari,kualitas_tidur,frekuensi_olahraga_per_minggu,jam_layar_per_hari,tingkat_stres,kepuasan_kerja,work_life_balance,produktivitas_diri,dukungan_atasan,frekuensi_meeting_per_hari,jumlah_deadline_per_minggu,beban_kerja_persepsi,status_merokok,riwayat_kesehatan_mental,keluhan_fisik_utama,keamanan_pekerjaan,frekuensi_konflik_kerja,tingkat_burnout_label
Perempuan,35,D3,Menikah,Marketing,3,Swasta,Hybrid,8,0,8,6,3,7,3,7,8,8,7,1,1,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,3,Low
Laki-laki,31,S2,Menikah,Hr,5,Swasta,Ya,6,1,6,7,4,7,4,9,7,7,6,1,2,Ringan,Tidak,Pernah Depresi,Tidak Ada,Sangat Aman,2,Low
Laki-laki,33,S2,Menikah,Engineering,4,BUMN,Ya,8,0,8,8,3,7,3,6,7,8,7,1,1,Ringan,Kadang,Tidak Ada,Tidak Ada,Aman,2,Low
Laki-laki,37,S1,Menikah,Operations,1,BUMN,Tidak,13,4,7,4,2,6,8,4,3,2,6,6,4,Sedang,Kadang,Kecemasan,Mata Lelah,Cukup Aman,6,High
Laki-laki,25,S2,Belum Menikah,Finance,2,Freelance,Tidak,8,2,4,5,3,10,6,6,2,6,5,3,3,Berat,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,2,Medium
Perempuan,27,D3,Menikah,Product,1,BUMN,Ya,11,4,4,5,2,8,10,3,6,4,3,4,5,Berat,Ya,Pernah Depresi,Mata Lelah,Tidak Aman,7,High
Laki-laki,21,D3,Belum Menikah,Data,3,BUMN,Tidak,8,0,7,7,4,11,3,8,5,7,6,3,1,Ringan,Tidak,Pernah Depresi,Tidak Ada,Sangat Aman,2,Low
Laki-laki,29,D3,Belum Menikah,Finance,0,Freelance,Ya,11,4,4,3,0,7,9,2,5,4,4,5,4,Berat,Tidak,Pernah Depresi,Mata Lelah,Tidak Aman,7,High
Laki-laki,35,S1,Menikah,Product,3,Startup,Ya,10,1,7,5,2,10,5,6,6,5,6,3,4,Sedang,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,5,Medium
Laki-laki,30,S2,Menikah,It,5,BUMN,Hybrid,10,0,6,5,2,8,5,6,4,5,6,4,2,Sedang,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,6,Medium
Perempuan,31,S2,Belum Menikah,Sales,6,BUMN,Tidak,8,1,6,8,2,10,4,8,10,10,6,1,2,Ringan,Kadang,Tidak Ada,Sakit Kepala,Cukup Aman,2,Low
Laki-laki,32,S1,Menikah,Engineering,1,Freelance,Tidak,12,3,3,2,1,8,10,2,1,6,1,3,3,Sangat Berat,Tidak,Tidak Ada,Kelelahan,Tidak Aman,7,High
Laki-laki,23,S1,Belum Menikah,Product,0,Startup,Ya,8,2,6,3,3,9,7,6,7,5,7,0,2,Sedang,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,4,Medium
Perempuan,31,S1,Belum Menikah,Operations,0,Freelance,Hybrid,7,1,8,7,6,7,4,7,8,8,7,1,1,Sedang,Tidak,Tidak Ada,Tidak Ada,Sangat Aman,1,Low
Perempuan,26,S2,Menikah,Product,4,BUMN,Ya,10,3,4,4,1,6,8,4,4,1,2,5,4,Sangat Berat,Tidak,Kecemasan,Sakit Kepala,Tidak Aman,6,High
Perempuan,22,S1,Menikah,Finance,3,Startup,Ya,7,2,9,6,4,24,3,9,6,5,8,0,2,Ringan,Ya,Tidak Ada,Tidak Ada,Aman,2,Low
Perempuan,28,S2,Menikah,Product,0,Freelance,Tidak,13,4,5,4,2,4,6,3,4,3,4,5,5,Sedang,Ya,Pernah Depresi,Nyeri Punggung,Tidak Aman,7,High
Perempuan,35,S2,Menikah,Marketing,5,BUMN,Hybrid,10,1,7,6,2,10,5,7,6,6,6,3,2,Sedang,Ya,Tidak Ada,Tidak Ada,Cukup Aman,4,Medium
Laki-laki,28,S2,Belum Menikah,Marketing,2,Freelance,Tidak,12,4,4,5,0,10,8,3,4,7,4,4,4,Sedang,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,4,High
Perempuan,30,S1,Belum Menikah,It,6,Swasta,Ya,13,3,4,4,2,6,7,4,4,6,2,3,4,Sangat Berat,Kadang,Kecemasan,Kelelahan,Tidak Aman,6,High
Perempuan,28,D3,Belum Menikah,Finance,4,Swasta,Hybrid,8,1,8,6,2,9,10,8,7,5,7,3,2,Ringan,Tidak,Tidak Ada,Sakit Kepala,Aman,4,Low
Perempuan,28,S1,Menikah,Product,6,Swasta,Tidak,11,3,5,3,2,9,7,4,2,5,3,3,5,Sedang,Kadang,Tidak Ada,Sakit Kepala,Tidak Aman,7,High
Laki-laki,22,S1,Belum Menikah,Engineering,2,Startup,Hybrid,11,2,6,4,2,8,5,7,5,6,6,3,2,Berat,Ya,Tidak Ada,Tidak Ada,Aman,3,Medium
Perempuan,35,S1,Belum Menikah,Operations,4,Swasta,Ya,6,1,6,7,2,5,3,6,8,8,6,1,1,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,4,Low
Laki-laki,23,S1,Belum Menikah,Marketing,3,Swasta,Tidak,8,2,5,8,2,8,4,7,8,7,8,4,4,Ringan,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,3,Medium
Laki-laki,36,S1,Belum Menikah,Operations,0,Startup,Hybrid,10,0,7,4,1,5,7,6,5,7,6,2,1,Sedang,Tidak,Pernah Depresi,Tidak Ada,Tidak Aman,3,Medium
Laki-laki,36,S1,Menikah,Operations,2,BUMN,Tidak,12,3,4,3,3,7,9,3,1,4,3,4,4,Sangat Berat,Ya,Tidak Ada,Tidak Ada,Tidak Aman,7,High
Laki-laki,20,S1,Menikah,Hr,2,Freelance,Ya,10,2,6,4,2,9,6,5,3,6,7,0,3,Berat,Ya,Pernah Depresi,Nyeri Punggung,Cukup Aman,4,Medium
Laki-laki,31,S2,Belum Menikah,Product,8,Swasta,Ya,12,2,6,4,0,9,7,3,3,4,4,5,3,Berat,Kadang,Kecemasan,Sakit Kepala,Tidak Aman,5,High
Laki-laki,35,S1,Belum Menikah,Operations,4,Freelance,Ya,11,4,6,4,2,9,10,1,2,3,2,4,4,Berat,Kadang,Kecemasan,Kelelahan,Cukup Aman,7,High
Perempuan,25,S1,Belum Menikah,Operations,6,Swasta,Hybrid,10,0,7,6,3,10,3,8,7,6,6,2,1,Ringan,Tidak,Pernah Depresi,Sakit Kepala,Sangat Aman,1,Low
Laki-laki,18,S1,Belum Menikah,Marketing,2,Startup,Hybrid,13,3,4,2,0,9,8,5,5,4,5,3,4,Sedang,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,8,High
Perempuan,28,S1,Belum Menikah,Hr,13,BUMN,Tidak,13,2,6,4,1,8,9,4,4,4,4,3,4,Berat,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,8,High
Laki-laki,18,S1,Menikah,Sales,5,BUMN,Ya,10,1,6,3,2,11,8,7,7,5,7,3,3,Sedang,Tidak,Tidak Ada,Nyeri Punggung,Cukup Aman,3,Medium
Laki-laki,29,S2,Menikah,Operations,0,Freelance,Ya,9,2,6,4,1,7,7,5,6,6,5,5,2,Berat,Tidak,Pernah Depresi,Tidak Ada,Cukup Aman,4,Medium
Laki-laki,32,D3,Menikah,Finance,4,Startup,Hybrid,10,0,6,6,2,10,6,8,6,7,6,3,5,Berat,Tidak,Tidak Ada,Nyeri Punggung,Aman,3,Medium
Laki-laki,22,S1,Belum Menikah,Operations,1,Swasta,Hybrid,7,3,7,3,2,10,5,8,4,6,5,4,4,Sedang,Kadang,Tidak Ada,Nyeri Punggung,Tidak Aman,2,Medium
Laki-laki,43,S2,Belum Menikah,Product,1,Startup,Hybrid,11,3,5,2,2,7,9,2,4,4,3,6,5,Berat,Tidak,Tidak Ada,Kelelahan,Cukup Aman,8,High
Laki-laki,26,D3,Belum Menikah,Engineering,1,Swasta,Tidak,8,0,7,8,3,7,6,9,8,8,8,2,1,Sedang,Tidak,Pernah Depresi,Tidak Ada,Aman,1,Low
Laki-laki,34,S1,Belum Menikah,Data,3,Startup,Tidak,5,0,6,7,4,8,3,8,7,8,8,1,0,Ringan,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,9,Low
Perempuan,28,S1,Menikah,Data,2,Freelance,Ya,10,1,7,4,1,9,6,5,7,6,6,4,5,Sedang,Ya,Tidak Ada,Nyeri Punggung,Aman,5,Medium
Perempuan,26,S2,Belum Menikah,Marketing,5,Startup,Ya,10,2,6,5,2,4,6,6,10,7,5,3,4,Berat,Ya,Tidak Ada,Tidak Ada,Aman,5,Medium
Perempuan,24,S1,Menikah,Marketing,4,Startup,Ya,5,0,7,7,4,7,5,7,6,6,9,2,1,Sedang,Tidak,Pernah Depresi,Sakit Kepala,Aman,2,Low
Laki-laki,28,S2,Menikah,Engineering,1,Freelance,Ya,11,2,6,3,1,7,6,5,5,5,4,2,2,Sedang,Ya,Tidak Ada,Nyeri Punggung,Cukup Aman,6,Medium
Perempuan,31,S1,Menikah,Operations,1,Freelance,Hybrid,8,1,7,8,2,5,4,7,10,7,6,1,1,Ringan,Tidak,Tidak Ada,Tidak Ada,Aman,4,Low
Laki-laki,32,S2,Menikah,It,6,BUMN,Tidak,11,0,8,9,3,4,3,6,6,8,8,1,1,Ringan,Tidak,Tidak Ada,Sakit Kepala,Cukup Aman,1,Low
Perempuan,23,S1,Menikah,Sales,8,Swasta,Ya,9,3,6,4,2,9,5,6,5,6,6,4,3,Sedang,Ya,Pernah Depresi,Sakit Kepala,Tidak Aman,3,Medium
Laki-laki,32,S1,Belum Menikah,Hr,9,Swasta,Tidak,10,1,6,7,2,11,7,5,7,6,5,2,1,Sedang,Tidak,Tidak Ada,Tidak Ada,Cukup Aman,5,Medium
Laki-laki,30,S1,Belum Menikah,Finance,3,Swasta,Ya,8,1,8,7,3,6,5,8,5,7,5,0,2,Sedang,Ya,Tidak Ada,Sakit Kepala,Cukup Aman,2,Low
Laki-laki,35,S1,Menikah,It,5,Swasta,Tidak,9,1,8,2,0,9,7,5,4,6,6,4,3,Sedang,Tidak,Tidak Ada,Sakit Kepala,Tidak Aman,6,Medium
Laki-laki,28,D3,Menikah,Marketing,0,Startup,Ya,8,1,5,5,1,6,7,6,6,6,5,5,2,Ringan,Tidak,Pernah Depresi,Nyeri Punggung,Cukup Aman,7,Medium
Perempuan,30,S1,Belum Menikah,Engineering,8,Swasta,Tidak,10,1,8,4,2,8,5,5,4,5,6,3,2,Berat,Tidak,Pernah Depresi,Nyeri Punggung,Tidak Aman,3,Medium
Perempuan,30,S1,Menikah,Hr,13,BUMN,Ya,10,1,7,7,2,7,6,5,6,7,10,3,3,Ringan,Kadang,Tidak Ada,Tidak Ada,Cukup Aman,4,Medium
Perempuan,30,S1,Menikah,Operations,2,Freelance,Tidak,6,0,6,6,4,8,4,8,8,8,6,0,0,Ringan,Tidak,Tidak Ada,Sakit Kepala,Sangat Aman,1,Low
Laki-laki,27,D3,Belum Menikah,Operations,0,Freelance,Tidak,8,3,7,6,2,5,4,5,6,6,6,6,4,Sedang,Tidak,Tidak Ada,Tidak Ada,Tidak Aman,7,Medium
